         155974 function calls (155477 primitive calls) in 14.613 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      728    0.005    0.000    0.013    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/logging/__init__.py:633(usesTime)
       10    0.005    0.000    0.016    0.002 /home/alessio/Desktop/Machine_Learning/final_project/Reinforced-Bomberman/environment.py:348(build_arena)
       66    0.005    0.000    0.834    0.013 /home/alessio/Desktop/Machine_Learning/final_project/Reinforced-Bomberman/environment.py:158(do_step)
     1456    0.005    0.000    0.005    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/logging/__init__.py:796(filter)
      729    0.005    0.000    0.007    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/threading.py:1306(current_thread)
      728    0.005    0.000    0.005    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/logging/__init__.py:435(_format)
     1490    0.005    0.000    0.005    0.000 {method 'acquire' of '_thread.RLock' objects}
      728    0.005    0.000    0.007    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/posixpath.py:52(normcase)
      417    0.005    0.000    0.039    0.000 <__array_function__ internals>:177(concatenate)
      728    0.005    0.000    0.007    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/logging/__init__.py:119(getLevelName)
       96    0.004    0.000    0.007    0.000 {method 'permutation' of 'numpy.random._generator.Generator' objects}
      406    0.004    0.000    0.135    0.000 <__array_function__ internals>:177(stack)
      266    0.004    0.000    0.149    0.001 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/logging/__init__.py:1436(info)
      406    0.004    0.000    0.004    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/site-packages/numpy/core/shape_base.py:462(<setcomp>)
      728    0.004    0.000    0.009    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/logging/__init__.py:438(format)
       67    0.004    0.000    0.694    0.010 /home/alessio/Desktop/Machine_Learning/final_project/Reinforced-Bomberman/agents.py:235(process_event)
      929    0.004    0.000    0.004    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/logging/__init__.py:1689(isEnabledFor)
      728    0.004    0.000    0.013    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/logging/__init__.py:639(formatMessage)
     1490    0.004    0.000    0.004    0.000 {method 'release' of '_thread.RLock' objects}
     1473    0.004    0.000    0.004    0.000 {built-in method _thread.get_ident}
       66    0.004    0.000    0.012    0.000 /home/alessio/Desktop/Machine_Learning/final_project/Reinforced-Bomberman/environment.py:283(time_to_stop)
       66    0.004    0.000    0.009    0.000 /home/alessio/Desktop/Machine_Learning/final_project/Reinforced-Bomberman/environment.py:396(get_state_for_agent)
      142    0.003    0.000   11.129    0.078 main.py:29(wait)
        1    0.003    0.003    0.292    0.292 /home/alessio/Desktop/Machine_Learning/final_project/Reinforced-Bomberman/environment.py:514(__init__)
      406    0.003    0.000    0.007    0.000 /home/alessio/miniconda3/envs/ml_project/lib/python3.8/site-packages/numpy/core/shape_base.py:373(_stack_dispatcher)
      284    0.003    0.000    0.005    0.000 main.py:23(is_due)
1091/1072    0.003    0.000    0.003    0.000 {built-in method builtins.len}
